id,name,side,count,grouping,image,summary,tip,source_url
11,Bearish Engulfing,Bearish,2,ขาลง 2 ตัว,https://dummyimage.com/240x160/fef2f2/ef4444&text=bearish,แท่งแดงกลืนแท่งเขียวก่อนหน้า สัญญาณกลับตัวลง,"ให้เกิดใกล้แนวต้าน, วอลุ่มสูงยิ่งดี",https://www.investopedia.com/terms/b/bearishengulfingp.asp
12,Shooting Star,Bearish,1,กลับตัว 1 แท่ง,https://dummyimage.com/240x160/fef2f2/ef4444&text=shoot,ไส้บนยาว ตัวเล็ก เกิดบนยอด ราคาโดนกดลง,"ต้องเกิดบนแนวต้านเท่านั้น, รอแท่งแดงตาม",
13,Evening Star,Bearish,3,ขาลง 3 ตัว,https://dummyimage.com/240x160/fef2f2/ef4444&text=evening,เขียวใหญ่→ดาว→แดงใหญ่ สัญญาณกลับตัวลงเชื่อถือได้,แท่งที่ 3 ควรปิดต่ำกว่ากลางแท่งแรก,https://www.investopedia.com/terms/e/eveningstar.asp
14,Hanging Man,Bearish,1,กลับตัว 1 แท่ง,https://dummyimage.com/240x160/fef2f2/ef4444&text=hang,ไส้ล่างยาว ตัวเล็ก เกิดบนยอด แรงขายเริ่มมา,ต้องมีแท่งแดงตามเพื่อยืนยัน,
15,Three Black Crows,Bearish,3,ขาลง 3 ตัว,https://dummyimage.com/240x160/fef2f2/ef4444&text=3crows,แดง 3 แท่งใหญ่ลงต่อเนื่อง แรงขายหนัก,ใช้ได้ดีถ้าเกิดหลัง sideway ด้านบน,https://www.investopedia.com/terms/t/three_black_crows.asp
16,Pattern 16,Neutral,1,อื่นๆ,https://dummyimage.com/240x160/e2e8f0/94a3b8&text=pattern,เทคนิคตัวอย่างสำหรับการทดสอบ,ปรับแก้ข้อความในชีตตามต้องการ,
17,Pattern 17,Neutral,1,อื่นๆ,https://dummyimage.com/240x160/e2e8f0/94a3b8&text=pattern,เทคนิคตัวอย่างสำหรับการทดสอบ,ปรับแก้ข้อความในชีตตามต้องการ,
18,Pattern 18,Neutral,1,อื่นๆ,https://dummyimage.com/240x160/e2e8f0/94a3b8&text=pattern,เทคนิคตัวอย่างสำหรับการทดสอบ,ปรับแก้ข้อความในชีตตามต้องการ,
19,Pattern 19,Neutral,1,อื่นๆ,https://dummyimage.com/240x160/e2e8f0/94a3b8&text=pattern,เทคนิคตัวอย่างสำหรับการทดสอบ,ปรับแก้ข้อความในชีตตามต้องการ,
20,Pattern 20,Neutral,1,อื่นๆ,https://dummyimage.com/240x160/e2e8f0/94a3b8&text=pattern,เทคนิคตัวอย่างสำหรับการทดสอบ,ปรับแก้ข้อความในชีตตามต้องการ,
21,Pattern 21,Neutral,1,อื่นๆ,https://dummyimage.com/240x160/e2e8f0/94a3b8&text=pattern,เทคนิคตัวอย่างสำหรับการทดสอบ,ปรับแก้ข้อความในชีตตามต้องการ,
22,Pattern 22,Neutral,1,อื่นๆ,https://dummyimage.com/240x160/e2e8f0/94a3b8&text=pattern,เทคนิคตัวอย่างสำหรับการทดสอบ,ปรับแก้ข้อความในชีตตามต้องการ,
23,Pattern 23,Neutral,1,อื่นๆ,https://dummyimage.com/240x160/e2e8f0/94a3b8&text=pattern,เทคนิคตัวอย่างสำหรับการทดสอบ,ปรับแก้ข้อความในชีตตามต้องการ,
24,Pattern 24,Neutral,1,อื่นๆ,https://dummyimage.com/240x160/e2e8f0/94a3b8&text=pattern,เทคนิคตัวอย่างสำหรับการทดสอบ,ปรับแก้ข้อความในชีตตามต้องการ,
25,Pattern 25,Neutral,1,อื่นๆ,https://dummyimage.com/240x160/e2e8f0/94a3b8&text=pattern,เทคนิคตัวอย่างสำหรับการทดสอบ,ปรับแก้ข้อความในชีตตามต้องการ,
26,Pattern 26,Neutral,1,อื่นๆ,https://dummyimage.com/240x160/e2e8f0/94a3b8&text=pattern,เทคนิคตัวอย่างสำหรับการทดสอบ,ปรับแก้ข้อความในชีตตามต้องการ,
27,Pattern 27,Neutral,1,อื่นๆ,https://dummyimage.com/240x160/e2e8f0/94a3b8&text=pattern,เทคนิคตัวอย่างสำหรับการทดสอบ,ปรับแก้ข้อความในชีตตามต้องการ,
28,Pattern 28,Neutral,1,อื่นๆ,https://dummyimage.com/240x160/e2e8f0/94a3b8&text=pattern,เทคนิคตัวอย่างสำหรับการทดสอบ,ปรับแก้ข้อความในชีตตามต้องการ,
29,Pattern 29,Neutral,1,อื่นๆ,https://dummyimage.com/240x160/e2e8f0/94a3b8&text=pattern,เทคนิคตัวอย่างสำหรับการทดสอบ,ปรับแก้ข้อความในชีตตามต้องการ,
30,Pattern 30,Neutral,1,อื่นๆ,https://dummyimage.com/240x160/e2e8f0/94a3b8&text=pattern,เทคนิคตัวอย่างสำหรับการทดสอบ,ปรับแก้ข้อความในชีตตามต้องการ,
31,Pattern 31,Neutral,1,อื่นๆ,https://dummyimage.com/240x160/e2e8f0/94a3b8&text=pattern,เทคนิคตัวอย่างสำหรับการทดสอบ,ปรับแก้ข้อความในชีตตามต้องการ,
32,Pattern 32,Neutral,1,อื่นๆ,https://dummyimage.com/240x160/e2e8f0/94a3b8&text=pattern,เทคนิคตัวอย่างสำหรับการทดสอบ,ปรับแก้ข้อความในชีตตามต้องการ,
33,Pattern 33,Neutral,1,อื่นๆ,https://dummyimage.com/240x160/e2e8f0/94a3b8&text=pattern,เทคนิคตัวอย่างสำหรับการทดสอบ,ปรับแก้ข้อความในชีตตามต้องการ,
34,Pattern 34,Neutral,1,อื่นๆ,https://dummyimage.com/240x160/e2e8f0/94a3b8&text=pattern,เทคนิคตัวอย่างสำหรับการทดสอบ,ปรับแก้ข้อความในชีตตามต้องการ,
35,Pattern 35,Neutral,1,อื่นๆ,https://dummyimage.com/240x160/e2e8f0/94a3b8&text=pattern,เทคนิคตัวอย่างสำหรับการทดสอบ,ปรับแก้ข้อความในชีตตามต้องการ,
36,Pattern 36,Neutral,1,อื่นๆ,https://dummyimage.com/240x160/e2e8f0/94a3b8&text=pattern,เทคนิคตัวอย่างสำหรับการทดสอบ,ปรับแก้ข้อความในชีตตามต้องการ,
37,Pattern 37,Neutral,1,อื่นๆ,https://dummyimage.com/240x160/e2e8f0/94a3b8&text=pattern,เทคนิคตัวอย่างสำหรับการทดสอบ,ปรับแก้ข้อความในชีตตามต้องการ,
38,Pattern 38,Neutral,1,อื่นๆ,https://dummyimage.com/240x160/e2e8f0/94a3b8&text=pattern,เทคนิคตัวอย่างสำหรับการทดสอบ,ปรับแก้ข้อความในชีตตามต้องการ,
39,Pattern 39,Neutral,1,อื่นๆ,https://dummyimage.com/240x160/e2e8f0/94a3b8&text=pattern,เทคนิคตัวอย่างสำหรับการทดสอบ,ปรับแก้ข้อความในชีตตามต้องการ,
40,Pattern 40,Neutral,1,อื่นๆ,https://dummyimage.com/240x160/e2e8f0/94a3b8&text=pattern,เทคนิคตัวอย่างสำหรับการทดสอบ,ปรับแก้ข้อความในชีตตามต้องการ,
41,Pattern 41,Neutral,1,อื่นๆ,https://dummyimage.com/240x160/e2e8f0/94a3b8&text=pattern,เทคนิคตัวอย่างสำหรับการทดสอบ,ปรับแก้ข้อความในชีตตามต้องการ,
42,Pattern 42,Neutral,1,อื่นๆ,https://dummyimage.com/240x160/e2e8f0/94a3b8&text=pattern,เทคนิคตัวอย่างสำหรับการทดสอบ,ปรับแก้ข้อความในชีตตามต้องการ,
43,Pattern 43,Neutral,1,อื่นๆ,https://dummyimage.com/240x160/e2e8f0/94a3b8&text=pattern,เทคนิคตัวอย่างสำหรับการทดสอบ,ปรับแก้ข้อความในชีตตามต้องการ,
44,Pattern 44,Neutral,1,อื่นๆ,https://dummyimage.com/240x160/e2e8f0/94a3b8&text=pattern,เทคนิคตัวอย่างสำหรับการทดสอบ,ปรับแก้ข้อความในชีตตามต้องการ,
45,Pattern 45,Neutral,1,อื่นๆ,https://dummyimage.com/240x160/e2e8f0/94a3b8&text=pattern,เทคนิคตัวอย่างสำหรับการทดสอบ,ปรับแก้ข้อความในชีตตามต้องการ,
46,Pattern 46,Neutral,1,อื่นๆ,https://dummyimage.com/240x160/e2e8f0/94a3b8&text=pattern,เทคนิคตัวอย่างสำหรับการทดสอบ,ปรับแก้ข้อความในชีตตามต้องการ,
47,Pattern 47,Neutral,1,อื่นๆ,https://dummyimage.com/240x160/e2e8f0/94a3b8&text=pattern,เทคนิคตัวอย่างสำหรับการทดสอบ,ปรับแก้ข้อความในชีตตามต้องการ,
48,Pattern 48,Neutral,1,อื่นๆ,https://dummyimage.com/240x160/e2e8f0/94a3b8&text=pattern,เทคนิคตัวอย่างสำหรับการทดสอบ,ปรับแก้ข้อความในชีตตามต้องการ,
49,Pattern 49,Neutral,1,อื่นๆ,https://dummyimage.com/240x160/e2e8f0/94a3b8&text=pattern,เทคนิคตัวอย่างสำหรับการทดสอบ,ปรับแก้ข้อความในชีตตามต้องการ,
50,Pattern 50,Neutral,1,อื่นๆ,https://dummyimage.com/240x160/e2e8f0/94a3b8&text=pattern,เทคนิคตัวอย่างสำหรับการทดสอบ,ปรับแก้ข้อความในชีตตามต้องการ,
51,Pattern 51,Neutral,1,อื่นๆ,https://dummyimage.com/240x160/e2e8f0/94a3b8&text=pattern,เทคนิคตัวอย่างสำหรับการทดสอบ,ปรับแก้ข้อความในชีตตามต้องการ,
52,Pattern 52,Neutral,1,อื่นๆ,https://dummyimage.com/240x160/e2e8f0/94a3b8&text=pattern,เทคนิคตัวอย่างสำหรับการทดสอบ,ปรับแก้ข้อความในชีตตามต้องการ,
53,Pattern 53,Neutral,1,อื่นๆ,https://dummyimage.com/240x160/e2e8f0/94a3b8&text=pattern,เทคนิคตัวอย่างสำหรับการทดสอบ,ปรับแก้ข้อความในชีตตามต้องการ,
54,Pattern 54,Neutral,1,อื่นๆ,https://dummyimage.com/240x160/e2e8f0/94a3b8&text=pattern,เทคนิคตัวอย่างสำหรับการทดสอบ,ปรับแก้ข้อความในชีตตามต้องการ,
55,Pattern 55,Neutral,1,อื่นๆ,https://dummyimage.com/240x160/e2e8f0/94a3b8&text=pattern,เทคนิคตัวอย่างสำหรับการทดสอบ,ปรับแก้ข้อความในชีตตามต้องการ,
56,Pattern 56,Neutral,1,อื่นๆ,https://dummyimage.com/240x160/e2e8f0/94a3b8&text=pattern,เทคนิคตัวอย่างสำหรับการทดสอบ,ปรับแก้ข้อความในชีตตามต้องการ,
57,Pattern 57,Neutral,1,อื่นๆ,https://dummyimage.com/240x160/e2e8f0/94a3b8&text=pattern,เทคนิคตัวอย่างสำหรับการทดสอบ,ปรับแก้ข้อความในชีตตามต้องการ,
58,Pattern 58,Neutral,1,อื่นๆ,https://dummyimage.com/240x160/e2e8f0/94a3b8&text=pattern,เทคนิคตัวอย่างสำหรับการทดสอบ,ปรับแก้ข้อความในชีตตามต้องการ,
59,Pattern 59,Neutral,1,อื่นๆ,https://dummyimage.com/240x160/e2e8f0/94a3b8&text=pattern,เทคนิคตัวอย่างสำหรับการทดสอบ,ปรับแก้ข้อความในชีตตามต้องการ,
60,Pattern 60,Neutral,1,อื่นๆ,https://dummyimage.com/240x160/e2e8f0/94a3b8&text=pattern,เทคนิคตัวอย่างสำหรับการทดสอบ,ปรับแก้ข้อความในชีตตามต้องการ,
61,Pattern 61,Neutral,1,อื่นๆ,https://dummyimage.com/240x160/e2e8f0/94a3b8&text=pattern,เทคนิคตัวอย่างสำหรับการทดสอบ,ปรับแก้ข้อความในชีตตามต้องการ,
62,Pattern 62,Neutral,1,อื่นๆ,https://dummyimage.com/240x160/e2e8f0/94a3b8&text=pattern,เทคนิคตัวอย่างสำหรับการทดสอบ,ปรับแก้ข้อความในชีตตามต้องการ,
63,Pattern 63,Neutral,1,อื่นๆ,https://dummyimage.com/240x160/e2e8f0/94a3b8&text=pattern,เทคนิคตัวอย่างสำหรับการทดสอบ,ปรับแก้ข้อความในชีตตามต้องการ,
64,Pattern 64,Neutral,1,อื่นๆ,https://dummyimage.com/240x160/e2e8f0/94a3b8&text=pattern,เทคนิคตัวอย่างสำหรับการทดสอบ,ปรับแก้ข้อความในชีตตามต้องการ,
65,Pattern 65,Neutral,1,อื่นๆ,https://dummyimage.com/240x160/e2e8f0/94a3b8&text=pattern,เทคนิคตัวอย่างสำหรับการทดสอบ,ปรับแก้ข้อความในชีตตามต้องการ,
66,Pattern 66,Neutral,1,อื่นๆ,https://dummyimage.com/240x160/e2e8f0/94a3b8&text=pattern,เทคนิคตัวอย่างสำหรับการทดสอบ,ปรับแก้ข้อความในชีตตามต้องการ,
67,Pattern 67,Neutral,1,อื่นๆ,https://dummyimage.com/240x160/e2e8f0/94a3b8&text=pattern,เทคนิคตัวอย่างสำหรับการทดสอบ,ปรับแก้ข้อความในชีตตามต้องการ,
68,Pattern 68,Neutral,1,อื่นๆ,https://dummyimage.com/240x160/e2e8f0/94a3b8&text=pattern,เทคนิคตัวอย่างสำหรับการทดสอบ,ปรับแก้ข้อความในชีตตามต้องการ,
69,Pattern 69,Neutral,1,อื่นๆ,https://dummyimage.com/240x160/e2e8f0/94a3b8&text=pattern,เทคนิคตัวอย่างสำหรับการทดสอบ,ปรับแก้ข้อความในชีตตามต้องการ,
70,Pattern 70,Neutral,1,อื่นๆ,https://dummyimage.com/240x160/e2e8f0/94a3b8&text=pattern,เทคนิคตัวอย่างสำหรับการทดสอบ,ปรับแก้ข้อความในชีตตามต้องการ,
71,Pattern 71,Neutral,1,อื่นๆ,https://dummyimage.com/240x160/e2e8f0/94a3b8&text=pattern,เทคนิคตัวอย่างสำหรับการทดสอบ,ปรับแก้ข้อความในชีตตามต้องการ,
72,Pattern 72,Neutral,1,อื่นๆ,https://dummyimage.com/240x160/e2e8f0/94a3b8&text=pattern,เทคนิคตัวอย่างสำหรับการทดสอบ,ปรับแก้ข้อความในชีตตามต้องการ,
73,Pattern 73,Neutral,1,อื่นๆ,https://dummyimage.com/240x160/e2e8f0/94a3b8&text=pattern,เทคนิคตัวอย่างสำหรับการทดสอบ,ปรับแก้ข้อความในชีตตามต้องการ,
74,Pattern 74,Neutral,1,อื่นๆ,https://dummyimage.com/240x160/e2e8f0/94a3b8&text=pattern,เทคนิคตัวอย่างสำหรับการทดสอบ,ปรับแก้ข้อความในชีตตามต้องการ,
75,Pattern 75,Neutral,1,อื่นๆ,https://dummyimage.com/240x160/e2e8f0/94a3b8&text=pattern,เทคนิคตัวอย่างสำหรับการทดสอบ,ปรับแก้ข้อความในชีตตามต้องการ,
76,Pattern 76,Neutral,1,อื่นๆ,https://dummyimage.com/240x160/e2e8f0/94a3b8&text=pattern,เทคนิคตัวอย่างสำหรับการทดสอบ,ปรับแก้ข้อความในชีตตามต้องการ,
77,Pattern 77,Neutral,1,อื่นๆ,https://dummyimage.com/240x160/e2e8f0/94a3b8&text=pattern,เทคนิคตัวอย่างสำหรับการทดสอบ,ปรับแก้ข้อความในชีตตามต้องการ,
78,Pattern 78,Neutral,1,อื่นๆ,https://dummyimage.com/240x160/e2e8f0/94a3b8&text=pattern,เทคนิคตัวอย่างสำหรับการทดสอบ,ปรับแก้ข้อความในชีตตามต้องการ,
79,Pattern 79,Neutral,1,อื่นๆ,https://dummyimage.com/240x160/e2e8f0/94a3b8&text=pattern,เทคนิคตัวอย่างสำหรับการทดสอบ,ปรับแก้ข้อความในชีตตามต้องการ,
80,Pattern 80,Neutral,1,อื่นๆ,https://dummyimage.com/240x160/e2e8f0/94a3b8&text=pattern,เทคนิคตัวอย่างสำหรับการทดสอบ,ปรับแก้ข้อความในชีตตามต้องการ,
81,Pattern 81,Neutral,1,อื่นๆ,https://dummyimage.com/240x160/e2e8f0/94a3b8&text=pattern,เทคนิคตัวอย่างสำหรับการทดสอบ,ปรับแก้ข้อความในชีตตามต้องการ,
82,Pattern 82,Neutral,1,อื่นๆ,https://dummyimage.com/240x160/e2e8f0/94a3b8&text=pattern,เทคนิคตัวอย่างสำหรับการทดสอบ,ปรับแก้ข้อความในชีตตามต้องการ,
83,Pattern 83,Neutral,1,อื่นๆ,https://dummyimage.com/240x160/e2e8f0/94a3b8&text=pattern,เทคนิคตัวอย่างสำหรับการทดสอบ,ปรับแก้ข้อความในชีตตามต้องการ,
84,Pattern 84,Neutral,1,อื่นๆ,https://dummyimage.com/240x160/e2e8f0/94a3b8&text=pattern,เทคนิคตัวอย่างสำหรับการทดสอบ,ปรับแก้ข้อความในชีตตามต้องการ,
85,Pattern 85,Neutral,1,อื่นๆ,https://dummyimage.com/240x160/e2e8f0/94a3b8&text=pattern,เทคนิคตัวอย่างสำหรับการทดสอบ,ปรับแก้ข้อความในชีตตามต้องการ,
86,Pattern 86,Neutral,1,อื่นๆ,https://dummyimage.com/240x160/e2e8f0/94a3b8&text=pattern,เทคนิคตัวอย่างสำหรับการทดสอบ,ปรับแก้ข้อความในชีตตามต้องการ,
87,Pattern 87,Neutral,1,อื่นๆ,https://dummyimage.com/240x160/e2e8f0/94a3b8&text=pattern,เทคนิคตัวอย่างสำหรับการทดสอบ,ปรับแก้ข้อความในชีตตามต้องการ,
88,Pattern 88,Neutral,1,อื่นๆ,https://dummyimage.com/240x160/e2e8f0/94a3b8&text=pattern,เทคนิคตัวอย่างสำหรับการทดสอบ,ปรับแก้ข้อความในชีตตามต้องการ,
89,Pattern 89,Neutral,1,อื่นๆ,https://dummyimage.com/240x160/e2e8f0/94a3b8&text=pattern,เทคนิคตัวอย่างสำหรับการทดสอบ,ปรับแก้ข้อความในชีตตามต้องการ,
90,Pattern 90,Neutral,1,อื่นๆ,https://dummyimage.com/240x160/e2e8f0/94a3b8&text=pattern,เทคนิคตัวอย่างสำหรับการทดสอบ,ปรับแก้ข้อความในชีตตามต้องการ,
91,Pattern 91,Neutral,1,อื่นๆ,https://dummyimage.com/240x160/e2e8f0/94a3b8&text=pattern,เทคนิคตัวอย่างสำหรับการทดสอบ,ปรับแก้ข้อความในชีตตามต้องการ,
92,Pattern 92,Neutral,1,อื่นๆ,https://dummyimage.com/240x160/e2e8f0/94a3b8&text=pattern,เทคนิคตัวอย่างสำหรับการทดสอบ,ปรับแก้ข้อความในชีตตามต้องการ,
93,Pattern 93,Neutral,1,อื่นๆ,https://dummyimage.com/240x160/e2e8f0/94a3b8&text=pattern,เทคนิคตัวอย่างสำหรับการทดสอบ,ปรับแก้ข้อความในชีตตามต้องการ,
94,Pattern 94,Neutral,1,อื่นๆ,https://dummyimage.com/240x160/e2e8f0/94a3b8&text=pattern,เทคนิคตัวอย่างสำหรับการทดสอบ,ปรับแก้ข้อความในชีตตามต้องการ,
95,Pattern 95,Neutral,1,อื่นๆ,https://dummyimage.com/240x160/e2e8f0/94a3b8&text=pattern,เทคนิคตัวอย่างสำหรับการทดสอบ,ปรับแก้ข้อความในชีตตามต้องการ,
96,Pattern 96,Neutral,1,อื่นๆ,https://dummyimage.com/240x160/e2e8f0/94a3b8&text=pattern,เทคนิคตัวอย่างสำหรับการทดสอบ,ปรับแก้ข้อความในชีตตามต้องการ,
97,Pattern 97,Neutral,1,อื่นๆ,https://dummyimage.com/240x160/e2e8f0/94a3b8&text=pattern,เทคนิคตัวอย่างสำหรับการทดสอบ,ปรับแก้ข้อความในชีตตามต้องการ,
98,Pattern 98,Neutral,1,อื่นๆ,https://dummyimage.com/240x160/e2e8f0/94a3b8&text=pattern,เทคนิคตัวอย่างสำหรับการทดสอบ,ปรับแก้ข้อความในชีตตามต้องการ,
99,Pattern 99,Neutral,1,อื่นๆ,https://dummyimage.com/240x160/e2e8f0/94a3b8&text=pattern,เทคนิคตัวอย่างสำหรับการทดสอบ,ปรับแก้ข้อความในชีตตามต้องการ,
100,Pattern 100,Neutral,1,อื่นๆ,https://dummyimage.com/240x160/e2e8f0/94a3b8&text=pattern,เทคนิคตัวอย่างสำหรับการทดสอบ,ปรับแก้ข้อความในชีตตามต้องการ,
